# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  0.000000000000E+00  1.666262190036E-24  3.000000000000E+19  7.000000000000E+03  1.000000000000E-02  9.870175620934E+00  0.000000000000E+00
  5.000000000000E-06  4.712827388513E-06  3.393406794216E+19  6.770840542369E+03  1.985066458832E-02  7.430370025417E+00  7.193747634321E-04
  1.000000000000E-05  8.330350120801E+00  3.773916179621E+19  6.549193825371E+03  2.960331342631E-02  6.400616598540E+00  2.877499053728E-03
  1.500000000000E-05  1.246648504030E+04  4.141950983568E+19  6.334813552071E+03  3.925892178698E-02  5.809291021428E+00  6.474372870889E-03
  2.000000000000E-05  1.086552198555E+06  4.497920171485E+19  6.127461500110E+03  4.881845523920E-02  5.417018573864E+00  1.150999621491E-02
  2.500000000000E-05  2.271111035177E+07  4.842219301313E+19  5.926907256985E+03  5.828286974429E-02  5.133412225440E+00  1.798436908580E-02
  3.000000000000E-05  2.091373947156E+08  5.175230963064E+19  5.732927964015E+03  6.765311175159E-02  4.916159509267E+00  2.589749148356E-02
  3.500000000000E-05  1.150778275824E+09  5.497325203959E+19  5.545308068694E+03  7.693011829311E-02  4.742629254738E+00  3.524936340817E-02
  4.000000000000E-05  4.483357148510E+09  5.808859939624E+19  5.363839085169E+03  8.611481707723E-02  4.599553521481E+00  4.603998485965E-02
  4.500000000000E-05  1.369506242194E+10  6.110181351819E+19  5.188319362565E+03  9.520812658148E-02  4.478610885109E+00  5.826935583800E-02
  5.000000000000E-05  3.500392452638E+10  6.401624273115E+19  5.018553860911E+03  1.042109561444E-01  4.374304425068E+00  7.193747634321E-02
  5.500000000000E-05  7.818552079067E+10  6.683512558963E+19  4.854353934404E+03  1.131242060564E-01  4.282850164063E+00  8.704434637529E-02
  6.000000000000E-05  1.572818882202E+11  6.956159447572E+19  4.695537121789E+03  1.219487676500E-01  4.201554200173E+00  1.035899659342E-01
  6.500000000000E-05  2.911655736951E+11  7.219867907982E+19  4.541926943601E+03  1.306855233886E-01  4.128444240365E+00  1.215743350200E-01
  7.000000000000E-05  5.039569884429E+11  7.474930976723E+19  4.393352706059E+03  1.393353469552E-01  4.062041684786E+00  1.409974536327E-01
  7.500000000000E-05  8.253025032542E+11  7.721632083448E+19  4.249649311391E+03  1.478991033392E-01  4.001215275094E+00  1.618593217722E-01
  8.000000000000E-05  1.290521692248E+12  7.960245365880E+19  4.110657074375E+03  1.563776489235E-01  3.945084075662E+00  1.841599394386E-01
  8.500000000000E-05  1.940629820761E+12  8.191035974436E+19  3.976221544891E+03  1.647718315696E-01  3.892951366758E+00  2.078993066319E-01
  9.000000000000E-05  2.822238834529E+12  8.414260366872E+19  3.846193336297E+03  1.730824907028E-01  3.844258508549E+00  2.330774233520E-01
  9.500000000000E-05  3.987338009040E+12  8.630166593256E+19  3.720427959428E+03  1.813104573961E-01  3.798552056778E+00  2.596942895990E-01
  1.000000000000E-04  5.492954419625E+12  8.838994571609E+19  3.598785662038E+03  1.894565544528E-01  3.755459881350E+00  2.877499053728E-01
  1.050000000000E-04  7.400693476642E+12  9.040976354503E+19  3.481131273502E+03  1.975215964895E-01  3.714673530774E+00  3.172442706736E-01
  1.100000000000E-04  9.776160754157E+12  9.236336386922E+19  3.367334054618E+03  2.055063900171E-01  3.675935011780E+00  3.481773855011E-01
  1.150000000000E-04  1.268826800790E+13  9.425291755669E+19  3.257267552323E+03  2.134117335217E-01  3.639026743174E+00  3.805492498556E-01
  1.200000000000E-04  1.620842842216E+13  9.608052430593E+19  3.150809459179E+03  2.212384175441E-01  3.603763826916E+00  4.143598637369E-01
  1.250000000000E-04  2.040964856332E+13  9.784821497915E+19  3.047841477464E+03  2.289872247593E-01  3.569988034553E+00  4.496092271451E-01
  1.300000000000E-04  2.536552709427E+13  9.955795385896E+19  2.948249187716E+03  2.366589300545E-01  3.537563079657E+00  4.862973400801E-01
  1.350000000000E-04  3.114917288353E+13  1.012116408311E+20  2.851921921587E+03  2.442543006065E-01  3.506370865776E+00  5.244242025420E-01
  1.400000000000E-04  3.783205761110E+13  1.028111134958E+20  2.758752638872E+03  2.517740959588E-01  3.476308482307E+00  5.639898145308E-01
  1.450000000000E-04  4.548282022824E+13  1.043581492093E+20  2.668637808559E+03  2.592190680972E-01  3.447285779584E+00  6.049941760464E-01
  1.500000000000E-04  5.416604258444E+13  1.058544670594E+20  2.581477293788E+03  2.665899615251E-01  3.419223396630E+00  6.474372870889E-01
  1.550000000000E-04  6.394101711767E+13  1.073017297755E+20  2.497174240576E+03  2.738875133380E-01  3.392051145757E+00  6.913191476583E-01
  1.600000000000E-04  7.486052865380E+13  1.087015455762E+20  2.415634970189E+03  2.811124532970E-01  3.365706680712E+00  7.366397577545E-01
  1.650000000000E-04  8.696967303001E+13  1.100554699562E+20  2.336768875050E+03  2.882655039024E-01  3.340134391812E+00  7.833991173776E-01
  1.700000000000E-04  1.003047354134E+14  1.113650074155E+20  2.260488318048E+03  2.953473804650E-01  3.315284484090E+00  8.315972265275E-01
  1.750000000000E-04  1.148921508121E+14  1.126316131302E+20  2.186708535163E+03  3.023587911785E-01  3.291112203927E+00  8.812340852043E-01
  1.800000000000E-04  1.307475683674E+14  1.138566945705E+20  2.115347541266E+03  3.093004371897E-01  3.267577186951E+00  9.323096934080E-01
  1.850000000000E-04  1.478750395896E+14  1.150416130640E+20  2.046326039023E+03  3.161730126690E-01  3.244642905501E+00  9.848240511386E-01
  1.900000000000E-04  1.662663487757E+14  1.161876853086E+20  1.979567330774E+03  3.229772048798E-01  3.222276198340E+00  1.038777158396E+00
  1.950000000000E-04  1.859005014778E+14  1.172961848359E+20  1.914997233308E+03  3.297136942468E-01  3.200446868614E+00  1.094169015180E+00
  2.000000000000E-04  2.067433841177E+14  1.183683434261E+20  1.852543995429E+03  3.363831544247E-01  3.179127338765E+00  1.150999621491E+00
  2.050000000000E-04  2.287476047417E+14  1.194053524768E+20  1.792138218225E+03  3.429862523650E-01  3.158292353155E+00  1.209268977329E+00
  2.100000000000E-04  2.518525215517E+14  1.204083643270E+20  1.733712777952E+03  3.495236483831E-01  3.137918720876E+00  1.268977082694E+00
  2.150000000000E-04  2.759844623110E+14  1.213784935375E+20  1.677202751442E+03  3.559959962239E-01  3.117985092505E+00  1.330123937586E+00
  2.200000000000E-04  3.010571341016E+14  1.223168181294E+20  1.622545343962E+03  3.624039431277E-01  3.098471765695E+00  1.392709542005E+00
  2.250000000000E-04  3.269722192830E+14  1.232243807822E+20  1.569679819438E+03  3.687481298944E-01  3.079360515313E+00  1.456733895950E+00
