# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
 0.000000000000e+00  1.703082304625e-24  3.000000000000e+19  7.000000000000e+03  1.000000000000e-02  0.000000000000e+00  0.000000000000e+00 
 5.000000000000e-06  4.771785890456e-06  3.393406794216e+19  6.770840542369e+03  1.985066458832e-02  0.000000000000e+00  0.000000000000e+00 
 1.000000000000e-05  8.407780999878e+00  3.773916179621e+19  6.549193825371e+03  2.960331342631e-02  0.000000000000e+00  0.000000000000e+00 
 1.500000000000e-05  1.256208832863e+04  4.141950983568e+19  6.334813552071e+03  3.925892178698e-02  0.000000000000e+00  0.000000000000e+00 
 2.000000000000e-05  1.093808400301e+06  4.497920171485e+19  6.127461500110e+03  4.881845523920e-02  0.000000000000e+00  0.000000000000e+00 
 2.500000000000e-05  2.284750691033e+07  4.842219301313e+19  5.926907256985e+03  5.828286974429e-02  0.000000000000e+00  0.000000000000e+00 
 3.000000000000e-05  2.102908818387e+08  5.175230963064e+19  5.732927964015e+03  6.765311175159e-02  0.000000000000e+00  0.000000000000e+00 
 3.500000000000e-05  1.156692599180e+09  5.497325203959e+19  5.545308068694e+03  7.693011829311e-02  0.000000000000e+00  0.000000000000e+00 
 4.000000000000e-05  4.505055841646e+09  5.808859939624e+19  5.363839085169e+03  8.611481707723e-02  0.000000000000e+00  0.000000000000e+00 
 4.500000000000e-05  1.375797809188e+10  6.110181351819e+19  5.188319362565e+03  9.520812658148e-02  0.000000000000e+00  0.000000000000e+00 
 5.000000000000e-05  3.515750786288e+10  6.401624273115e+19  5.018553860911e+03  1.042109561444e-01  0.000000000000e+00  0.000000000000e+00 
 5.500000000000e-05  7.851475137543e+10  6.683512558963e+19  4.854353934404e+03  1.131242060564e-01  0.000000000000e+00  0.000000000000e+00 
 6.000000000000e-05  1.579200161702e+11  6.956159447572e+19  4.695537121789e+03  1.219487676500e-01  0.000000000000e+00  0.000000000000e+00 
 6.500000000000e-05  2.923074773491e+11  7.219867907982e+19  4.541926943601e+03  1.306855233886e-01  0.000000000000e+00  0.000000000000e+00 
 7.000000000000e-05  5.058726396221e+11  7.474930976723e+19  4.393352706059e+03  1.393353469552e-01  0.000000000000e+00  0.000000000000e+00 
